title,author,rating,genres,pages,ratings_count
A Tree Grows in Brooklyn,"Betty Smith, Betty Smith",4.3,"Fiction, Historical Fiction, Book Club, Classics, Young Adult, Coming Of Age, Historical, New York, Audiobook, Literature",496,492861
To Kill a Mockingbird,"Harper Lee, Harper Lee",4.26,"Historical Fiction, School, Literature, Young Adult, Historical, Read For School, Novels, Book Club, High School, Coming Of Age",323,6606121
The Road,"Cormac McCarthy, Cormac McCarthy",4.0,"Fiction, Science Fiction, Dystopia, Post Apocalyptic, Classics, Horror, Book Club, Literature, Novels, Audiobook",241,985787
The Golden Compass,"Philip Pullman, Philip Pullman",4.03,"Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Audiobook, Science Fiction, Steampunk, Science Fiction Fantasy",399,1585290
Vampire Academy,"Richelle Mead, Richelle Mead",4.1,"Fantasy, Young Adult, Vampires, Paranormal, Romance, Urban Fantasy, Fiction, Supernatural, Paranormal Romance, Magic",332,670190
Siddhartha,"Hermann Hesse, Hilda Rosner, Zigmantas Ardickas, Hermann Hesse",4.08,"Classics, Fiction, Philosophy, Spirituality, Religion, Literature, Buddhism, German Literature, Novels, Historical Fiction",152,835752
Angela’s Ashes,"Frank McCourt, Frank McCourt",4.15,"Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir, History, Irish Literature, Book Club",452,647814
Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford, Miguel de Cervantes Saavedra",3.9,"Fiction, Classics, Literature, Spanish Literature, Adventure, Historical Fiction, Novels, Spain, Humor, Classic Literature",1023,293676
The Old Man and the Sea,"Ernest Hemingway, Ernest Hemingway",3.81,"Classics, Fiction, Literature, Novels, School, American, Adventure, Literary Fiction, Classic Literature, Audiobook",96,1247791
The Poisonwood Bible,"Barbara Kingsolver, Barbara Kingsolver",4.11,"Fiction, Historical Fiction, Africa, Book Club, Classics, Literary Fiction, Historical, Literature, Novels, Adult Fiction",546,773578
And Then There Were None,"Agatha Christie, Agatha Christie",4.28,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Book Club, Classics, Audiobook, Adult, Suspense",264,1516321
The Complete Stories and Poems,"Edgar Allan Poe, Edgar Allan Poe",4.4,"Classics, Poetry, Horror, Fiction, Short Stories, Gothic, Mystery, Literature, Fantasy, Classic Literature",821,289437
Interview with the Vampire,"Anne Rice, Anne Rice",4.02,"Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic, Supernatural, Historical Fiction, Urban Fantasy",346,628121
Atlas Shrugged,"Ayn Rand, Leonard Peikoff, Ayn Rand",3.69,"Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels, Dystopia, Economics, Audiobook",1168,401060
Winnie-the-Pooh,"A.A. Milne, Ernest H. Shepard, A.A. Milne",4.38,"Classics, Childrens, Fiction, Fantasy, Animals, Audiobook, Middle Grade, Picture Books, Young Adult, Short Stories",161,387349
Fahrenheit 451,"Ray Bradbury, Ray Bradbury",3.97,"Classics, Fiction, Science Fiction, Dystopia, School, Literature, Novels, Audiobook, Fantasy, Book Club",158,2668129
The Shining,"Stephen King, Stephen King",4.28,"Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery, Audiobook, Suspense, Adult",497,1630715
"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk, Herman Melville",3.56,"Classics, Fiction, Literature, Adventure, Historical Fiction, Novels, American, Audiobook, 19th Century, Classic Literature",720,596912
A Prayer for Owen Meany,"John Irving, John Irving",4.24,"Fiction, Classics, Book Club, Contemporary, Literature, Literary Fiction, Historical Fiction, Novels, Coming Of Age, Adult Fiction",637,330481
The Stranger,"Albert Camus, Matthew Ward, Albert Camus",4.03,"Literature, French Literature, School, Novels, Literary Fiction, 20th Century, Read For School, Classic Literature, Modern Classics, Book Club",123,1281225
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré, J.K. Rowling",4.43,"Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade, Adventure, Classics, Science Fiction Fantasy",352,4293833
It,"Stephen King, Stephen King",4.24,"Horror, Fiction, Thriller, Fantasy, Classics, Audiobook, Mystery, Adult, Horror Thriller, Paranormal",1184,1212659
The Secret Life of Bees,"Sue Monk Kidd, Sue Monk Kidd",4.1,"Fiction, Historical Fiction, Book Club, Classics, Young Adult, Historical, Contemporary, Coming Of Age, Adult Fiction, Adult",302,1330682
"The Hobbit, or There and Back Again","J.R.R. Tolkien, Douglas A. Anderson, Michael Hague, J.R.R. Tolkien, Andy Weir",4.29,"Fiction, Classics, Adventure, Young Adult, High Fantasy, Audiobook, Science Fiction Fantasy, Novels, Dragons, Epic Fantasy",366,4301735
The Red Tent,"Anita Diamant, Anita Diamant",4.2,"Historical Fiction, Fiction, Book Club, Historical, Religion, Feminism, Adult, Womens, Novels, Adult Fiction",324,620070
The Metamorphosis,"Franz Kafka, Stanley Corngold, Franz Kafka",3.89,"Classics, Fiction, Fantasy, Philosophy, Short Stories, Literature, School, Horror, German Literature, Audiobook",201,1304020
The Name of the Wind,"Patrick Rothfuss, Patrick Rothfuss",4.52,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy, Adult, Adventure, Book Club",662,1039072
The Master and Margarita,"Mikhail Bulgakov, Diana Lewis Burgin, Katherine Tiernan O'Connor, Mikhail Bulgakov",4.29,"Fiction, Fantasy, Russia, Russian Literature, Magical Realism, Literature, Novels, Historical Fiction, Book Club, 20th Century",372,393814
